ID,NombreEmpleado,Departamento,Cargo,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,Año,Notas,Oficina,TipoContrato
1,Fernando Alberto Martinez Rojas,Marketing,Brand Manager,2179,193,174,973,2546,3519,2025,,Oficinas Administrativas,Part-Time
2,Carlos Mario Ortega Torres,Logistica,Planificador de Demanda,1266,1178,507,918,2951,3869,2025,,Planta Industrial (Matriz),Full-Time
3,Carmen Maria Castro Delgado,Comercial / Ventas,Preventista (BEES),4385,538,361,1230,5284,6514,2025,,Centros de Distribucion,Full-Time
4,Maria Patricia Castro Sanchez,Comercial / Ventas,Preventista (BEES),3371,1251,701,1190,5323,6513,2025,,Oficina Regional,Part-Time
5,Miguel Sergio Gonzalez Suarez,Logistica,Gestor de Flota,4727,905,616,1350,6248,7598,2025,,Oficinas Administrativas,Part-Time
6,Sofia Rosa Castro Ramirez,Operaciones (Supply),Operador de Envasado,1838,492,857,1216,3187,4403,2025,,Planta Industrial,Part-Time
7,Laura Andrea Suarez Gonzalez,Marketing,Trade Marketing,4193,785,540,606,5518,6124,2025,,Oficina Regional,Full-Time
8,Andres Juan Torres Castro,Operaciones (Supply),Operador de Envasado,1976,448,45,814,2469,3283,2025,,Oficina Regional,Full-Time
9,Monica Carmen Perez Morales,Tecnologia (Tech),Analista de Datos,3003,161,859,,4023,4023,2025,,Planta Industrial,Part-Time
10,Ricardo Juan Rojas Herrera,Finanzas,Controller Financiero,3374,377,94,1279,3845,5124,2025,,Planta Industrial,Full-Time
11,Luis Diego Vargas Sanchez,Tecnologia (Tech),Analista de Datos,4880,,757,1430,5637,7067,2025,,Oficina Regional,Full-Time
12,Rosa Daniela Suarez Ortega,Finanzas,Controller Financiero,883,131,654,1207,1668,2875,2025,,Planta Industrial,Part-Time
13,Silvia Laura Garcia Castro,Sostenibilidad,Coordinador de Agro,3619,740,304,929,4663,5592,2025,,Oficinas Administrativas,Part-Time
14,Raul Eduardo Sanchez Perez,Operaciones (Supply),Maestro Cervecero,3203,1090,281,207,4574,4781,2025,,Oficina Regional,
15,Pedro Sergio Herrera Martinez,People (RRHH),Reclutador (Trainee),4642,330,327,,5299,5299,2025,,Planta Industrial,Full-Time
16,Carlos Luis Ramirez Gonzalez,Operaciones (Supply),Analista de Calidad,2644,889,478,1067,4011,5078,2025,,Planta Industrial,Full-Time
17,Andres Ricardo Sanchez Castro,Marketing,Brand Manager,2980,1317,598,1200,4895,6095,2025,,Oficina Regional,Part-Time
18,Ricardo Carlos Rodriguez Martinez,Operaciones (Supply),Analista de Calidad,4095,1422,327,713,5844,6557,2025,,Oficina Regional,Full-Time
19,Fernando Sergio Ortega Delgado,Comercial / Ventas,Key Account Manager,1062,282,984,797,2328,3125,2025,,Centros de Distribucion,
20,Patricia Sofia Castro Morales,Operaciones (Supply),Maestro Cervecero,4734,319,787,1313,5840,7153,2025,,Oficina Regional,Part-Time
21,Monica Daniela Gonzalez Morales,People (RRHH),Business Partner,2803,194,428,923,3425,4348,2025,,Oficinas Administrativas,
22,Elena Camila Ramirez Perez,People (RRHH),Business Partner,4521,260,307,1424,5088,6512,2025,,Oficinas Administrativas,Part-Time
23,Ana Monica Rodriguez Ortega,People (RRHH),Business Partner,1108,353,186,937,1647,2584,2025,,Oficina Regional,Part-Time
24,Paula Carmen Morales Perez,Operaciones (Supply),Analista de Calidad,3100,1003,448,870,4551,5421,2025,,Oficina Regional,Part-Time
25,Elena Patricia Mendoza Lopez,Comercial / Ventas,Key Account Manager,4293,449,58,1499,4800,6299,2025,,Oficina Regional,Part-Time
26,Monica Maria Herrera Diaz,Tecnologia (Tech),Analista de Datos,3516,520,147,1498,4183,5681,2025,,Oficinas Administrativas,Part-Time
27,Natalia Gabriela Rodriguez Suarez,Marketing,Brand Manager,3008,1103,128,858,4239,5097,2025,,Planta Industrial (Matriz),
28,Gabriela Silvia Martinez Mendoza,Operaciones (Supply),Analista de Calidad,3800,207,871,,4878,4878,2025,,Oficina Regional,Part-Time
29,Natalia Veronica Perez Delgado,Tecnologia (Tech),Analista de Datos,2106,,857,1002,2963,3965,2025,,Planta Industrial,Part-Time
30,Lucia Ana Garcia Suarez,Marketing,Trade Marketing,2363,364,828,1487,3555,5042,2025,,Centros de Distribucion,Part-Time
31,Laura Natalia Sanchez Vargas,Marketing,Trade Marketing,1890,619,144,1093,2653,3746,2025,,Planta Industrial (Matriz),Full-Time
32,Sergio Fernando Lopez Rojas,People (RRHH),Reclutador (Trainee),2426,1012,401,,3839,3839,2025,,Planta Industrial (Matriz),Full-Time
