ID,NombreEmpleado,Departamento,Cargo,Oficina,TipoContrato,SalarioBase,HorasExtra,OtrosPagos,Beneficios,SalarioTotal,SalarioTotalConBeneficios,LogSalarioTotal,OvertimeRatio,BeneficiosRatio,ExtraVsBase,BeneficiosVsSalario,KMeans_Cluster,DBSCAN_Cluster,Anomaly_IF,Anomaly_LOF,Anomalia_Ambos_Modelos
1,Fernando Alberto Martinez Rojas,Marketing,Brand Manager,Oficinas Administrativas,Part-Time,2179,193.0,174,973.0,2546,3519,7.842671474979457,0.08853211009174312,0.3820180604632901,0.08853211009174312,0.4463302752293578,3,0,Normal,Normal,No
2,Carlos Mario Ortega Torres,Logistica,Planificador de Demanda,Planta Industrial (Matriz),Full-Time,1266,1178.0,507,918.0,2951,3869,7.990238185720363,0.9297553275453828,0.31097560975609756,0.9297553275453828,0.7245461720599842,2,0,Normal,Normal,No
3,Carmen Maria Castro Delgado,Comercial / Ventas,Preventista (BEES),Centros de Distribucion,Full-Time,4385,538.0,361,1230.0,5284,6514,8.572627898304338,0.12266301869585043,0.23273415326395458,0.12266301869585043,0.280437756497948,0,0,Normal,Normal,No
4,Maria Patricia Castro Sanchez,Comercial / Ventas,Preventista (BEES),Oficina Regional,Part-Time,3371,1251.0,701,1190.0,5323,6513,8.579980179515003,0.3709964412811388,0.2235161532682194,0.3709964412811388,0.3529062870699881,0,0,Normal,Normal,No
5,Miguel Sergio Gonzalez Suarez,Logistica,Gestor de Flota,Oficinas Administrativas,Part-Time,4727,905.0,616,1350.0,6248,7598,8.740176729929082,0.19141285956006768,0.2160345655304849,0.19141285956006768,0.28553299492385786,0,0,Normal,Normal,No
6,Sofia Rosa Castro Ramirez,Operaciones (Supply),Operador de Envasado,Planta Industrial,Part-Time,1838,492.0,857,1216.0,3187,4403,8.067149039910106,0.26753670473083196,0.38143036386449186,0.26753670473083196,0.6612289287656336,3,0,Normal,Normal,No
7,Laura Andrea Suarez Gonzalez,Marketing,Trade Marketing,Oficina Regional,Full-Time,4193,785.0,540,606.0,5518,6124,8.615951963439501,0.187172150691464,0.10980250045298061,0.187172150691464,0.14449213161659513,0,0,Normal,Normal,No
8,Andres Juan Torres Castro,Operaciones (Supply),Operador de Envasado,Oficina Regional,Full-Time,1976,448.0,45,814.0,2469,3283,7.8119734296220225,0.22660596863935256,0.32955465587044536,0.22660596863935256,0.41173495194739507,3,0,Normal,Normal,No
9,Monica Carmen Perez Morales,Tecnologia (Tech),Analista de Datos,Planta Industrial,Part-Time,3003,161.0,859,849.0,4023,4023,8.300031711779575,0.05359520639147803,0.21098409542743538,0.05359520639147803,0.2826231691078562,0,0,Normal,Normal,No
10,Ricardo Juan Rojas Herrera,Finanzas,Controller Financiero,Planta Industrial,Full-Time,3374,377.0,94,1279.0,3845,5124,8.254788926148725,0.11170370370370371,0.3325533021320853,0.11170370370370371,0.37896296296296295,3,0,Normal,Normal,No
